year,region,type_expenditur,soc_eco_class,value,unit,source
2554,ทั่วประเทศ,รวม,รวมทั้งสิ้น,17402.60,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,รวม,ผู้ทำการประมง ป่าไม้ ล่าสัตว์ หาของป่า และบริการทางการเกษตร,11358.95,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2558,ทั่วประเทศ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (รวม),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เป็นของตนเอง,14805.99,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (อาหาร และเครื่องดื่ม (ไม่มีแอลกอฮอล์)),คนงานเกษตร,5376.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2558,ทั่วประเทศ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (อาหาร และเครื่องดื่ม (ไม่มีแอลกอฮอล์)),คนงานทั่วไป,5857.18,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (เครื่องดื่มที่มีแอลกอฮอล์),ผู้ปฏิบัติงานในกระบวนการผลิต,146.90,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (เครื่องดื่มที่มีแอลกอฮอล์),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เป็นของตนเอง,202.98,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ทั่วประเทศ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (ยาสูบ หมาก ยานัตถุ์ และอื่นๆ),คนงานเกษตร,119.45,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ทั่วประเทศ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (ที่อยู่อาศัย เครื่องแต่งบ้าน และเครื่องใช้ต่างๆ),ผู้ปฏิบัติงานวิชาชีพ นักวิชาการ และนักบริหารที่รับจ้าง,7156.83,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (ที่อยู่อาศัย เครื่องแต่งบ้าน และเครื่องใช้ต่างๆ),คนงานเกษตร,2648.96,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (ค่าใช้จ่ายส่วนบุคคล),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เป็นของตนเอง,399.80,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (เวชภัณฑ์และค่าตรวจรักษาพยาบาล),ผู้ไม่ได้ปฏิบัติงานในเชิงเศรษฐกิจ,255.80,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (การเดินทางและการสื่อสาร),ผู้ปฏิบัติงานในกระบวนการผลิต,3759.74,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2558,ทั่วประเทศ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (การศึกษา),คนงานเกษตร,109.04,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (การจัดงานพิธี  ในโอกาสพิเศษ),คนงานเกษตร,29.03,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,กทม. นนทบุรี ปทุมธานี และสมุทรปราการ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (รวม),ผู้ไม่ได้ปฏิบัติงานในเชิงเศรษฐกิจ,25952.02,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,กทม. นนทบุรี ปทุมธานี และสมุทรปราการ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (ยาสูบ หมาก ยานัตถุ์ และอื่นๆ),เสมียนพนักงาน พนักงานขายและให้บริการ,193.69,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,กทม. นนทบุรี ปทุมธานี และสมุทรปราการ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (เครื่องนุ่งห่มและรองเท้า),ผู้ไม่ได้ปฏิบัติงานในเชิงเศรษฐกิจ,503.15,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,กทม. นนทบุรี ปทุมธานี และสมุทรปราการ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (การเดินทางและการสื่อสาร),ผู้ปฏิบัติงานในกระบวนการผลิต,4970.15,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,กทม. นนทบุรี ปทุมธานี และสมุทรปราการ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (การจัดงานพิธี  ในโอกาสพิเศษ),คนงานทั่วไป,2.90,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2558,ภาคกลาง,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (อาหาร และเครื่องดื่ม (ไม่มีแอลกอฮอล์)),เสมียนพนักงาน พนักงานขายและให้บริการ,7120.95,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (เครื่องดื่มที่มีแอลกอฮอล์),ผู้ไม่ได้ปฏิบัติงานในเชิงเศรษฐกิจ,52.90,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (อาหาร และเครื่องดื่ม (ไม่มีแอลกอฮอล์)),ผู้ไม่ได้ปฏิบัติงานในเชิงเศรษฐกิจ,3901.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (เวชภัณฑ์และค่าตรวจรักษาพยาบาล),รวมทั้งสิ้น,202.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,ภาคเหนือ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (การศึกษา),เสมียนพนักงาน พนักงานขายและให้บริการ,274.63,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,ภาคกลาง,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (เครื่องนุ่งห่มและรองเท้า),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เป็นของตนเอง,364.28,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,ภาคกลาง,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (การเดินทางและการสื่อสาร),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เป็นของตนเอง,4590.73,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ภาคกลาง,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (การจัดงานพิธี  ในโอกาสพิเศษ),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เป็นของตนเอง,248.13,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ภาคกลาง,ค่าใช้จ่ายที่ไม่เกี่ยวกับการอุปโภคบริโภค (รวม),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เป็นของตนเอง,1750.24,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ภาคเหนือ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (เครื่องดื่มที่มีแอลกอฮอล์),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เป็นของตนเอง,134.74,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ภาคเหนือ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (ยาสูบ หมาก ยานัตถุ์ และอื่นๆ),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เป็นของตนเอง,57.09,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ภาคเหนือ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (เครื่องนุ่งห่มและรองเท้า),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เป็นของตนเอง,277.26,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (ค่าใช้จ่ายส่วนบุคคล),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เป็นของตนเอง,342.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2558,ภาคเหนือ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (เวชภัณฑ์และค่าตรวจรักษาพยาบาล),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เป็นของตนเอง,223.13,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2560,ภาคเหนือ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (การเดินทางและการสื่อสาร),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เป็นของตนเอง,2828.40,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ภาคเหนือ,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค (การศึกษา),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เช่าผู้อื่น/ที่สาธารณะ/อื่น ๆ,116.07,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
