year,region,source_income,soc_eco_class,value,unit,source
2554,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),รวม,23236.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เป็นของตนเอง,20378.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เช่าผู้อื่น/ที่สาธารณะ/อื่น ๆ,18238.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),ผู้ทำการประมง ป่าไม้ ล่าสัตว์ หาของป่า และบริการทางการเกษตร,12244.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),ผู้ดำเนินธุรกิจของตนเองที่ไม่ใช่การเกษตร,30922.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),ผู้ปฏิบัติงานวิชาชีพ นักวิชาการ และนักบริหารที่รับจ้าง,51866.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),คนงานเกษตร,14211.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),คนงานทั่วไป,12683.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),เสมียนพนักงาน พนักงานขายและให้บริการ,21580.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),ผู้ปฏิบัติงานในกระบวนการผลิต,17175.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),ผู้ไม่ได้ปฏิบัติงานในเชิงเศรษฐกิจ,14695.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),รวม,25194.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เป็นของตนเอง,21449.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เช่าผู้อื่น/ที่สาธารณะ/อื่น ๆ,21697.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),ผู้ทำการประมง ป่าไม้ ล่าสัตว์ หาของป่า และบริการทางการเกษตร,14210.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),ผู้ดำเนินธุรกิจของตนเองที่ไม่ใช่การเกษตร,33882.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),ผู้ปฏิบัติงานวิชาชีพ นักวิชาการ และนักบริหารที่รับจ้าง,56037.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),คนงานเกษตร,13915.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),คนงานทั่วไป,16265.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),เสมียนพนักงาน พนักงานขายและให้บริการ,22345.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),ผู้ปฏิบัติงานในกระบวนการผลิต,22513.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2556,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),ผู้ไม่ได้ปฏิบัติงานในเชิงเศรษฐกิจ,14971.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2558,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),รวม,26915.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2558,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เป็นของตนเอง,21179.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2558,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),ผู้ถือครองทำการเกษตร การปลูกพืช การเลี้ยงสัตว์ และการเพาะเลี้ยงสัตวน้ำ ซึ่งที่ดินส่วนใหญ่เช่าผู้อื่น/ที่สาธารณะ/อื่น ๆ,21903.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2558,ทั่วประเทศ,รายได้ทั้งสิ้น (รวม),ผู้ทำการประมง ป่าไม้ ล่าสัตว์ หาของป่า และบริการทางการเกษตร,13410.00,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
